Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
LSO,AFR,15236129,8168740,5721674,3724108,2602431,1746857,1299974,15163643,8396540,5808422,3724449,2737567,2052193,1976474,78359249
LTU,EUR,13620073,10292703,10122820,9298687,8486359,6673860,7004946,13425626,10006456,10108374,9881946,9666606,8833605,13135197,140557314
LUX,EUR,1686222,1183519,1463708,1485501,1329118,1004941,1063880,1599442,1139185,1436613,1431186,1262248,1026152,1516256,18627977
LVA,EUR,8801294,6668699,6919513,6423075,5940354,4780699,4760994,8658857,6466921,6907001,6834984,6848821,6598242,10047289,96656746
MAC,WPR,1769164,1422236,1628532,1427947,1165989,804769,635381,1673275,1578558,1837955,1578554,1243592,813062,803443,18382472
MAR,EMR,202005861,114747288,90143546,68122822,50595347,34219965,25072961,193375925,114114227,92379180,69735516,50963418,34588244,27579463,1167643796
MCO,EUR,87627,62503,72801,85070,90683,89375,147643,83868,59722,73462,88604,93305,93050,188985,1316722
MDA,EUR,18770821,12961835,12486622,10620360,9273452,7127490,6066265,18631519,13044560,12911875,11604406,10705977,9296596,10381110,163882957
MDG,AFR,154233127,70054790,48970095,33249604,21531655,13241525,9926309,150877069,68857141,48642370,33428654,21926364,13566142,10339761,698844657
MDV,SEA,2160773,1384530,1261806,793415,502864,307659,265398,1989268,1198822,968852,629528,416860,253054,204179,12336987
MEX,AMR,678404651,381960424,296666342,229997850,164483491,107122763,101703298,661209211,392424882,319996759,248566254,178029419,117497691,117764953,3995827975
MHL,WPR,447400,187735,137642,102185,68146,40060,24029,419088,182460,136963,97029,62121,36072,25496,1966439
MKD,EUR,9552306,6675228,6723966,6200560,5297866,4055688,3680520,9011240,6345238,6454110,5914544,5166405,4229692,4551511,83858885
MLI,AFR,121017753,50264083,33424254,21660215,14050853,9534797,7311540,118389965,48946604,32410740,21119988,14062209,9956971,8109717,510259724
MLT,EUR,1572327,1191593,1295737,1203508,1048992,895185,985364,1482662,1112820,1205222,1151031,1059219,951226,1279549,16434449
MMR,SEA,296752050,179262059,149175910,114318276,82608838,53900750,39351833,283091130,173234001,146486949,114665520,85999171,60092962,52202405,1831141886
MNE,EUR,991722,720242,729691,673825,669042,571733,569563,933816,695061,723573,699260,691125,620853,825182,10114681
