Country,Region,M_Age0to14,M_Age15to24,M_Age25to34,M_Age35to44,M_Age45to54,M_Age55to64,M_Age65Plus,F_Age0to14,F_Age15to24,F_Age25to34,F_Age35to44,F_Age45to54,F_Age55to64,F_Age65Plus,TotalPopAffected
SOM,EMR,94296274,37762203,25344927,16919434,11137181,6940736,4812153,91662307,37026060,25489655,17438126,11821457,7651847,5800881,394103219
SRB,EUR,9021366,7197701,8434856,8612599,8170007,7659752,9245911,8481966,6901064,8169170,8558927,8695264,9031169,13262185,121441933
SSD,AFR,24062964,9944262,6965379,5647601,3513437,1890232,1189959,23470907,9788430,7346099,6124013,3873562,2203503,1611490,107631821
STP,AFR,1348944,625302,411166,272781,186694,128228,113903,1323315,618273,417573,282452,191508,131590,135938,6187655
SUR,AMR,3260934,1925334,1595470,1203258,878089,553638,443047,3169423,1860227,1538779,1180953,901233,613588,565879,19689851
SVK,EUR,22613705,16625728,17340722,15845577,13331746,10606814,9964595,21594908,15931864,16732108,15620320,13894424,12265852,15655130,218023502
SVN,EUR,7355842,5605599,6389161,6283727,5692440,4489932,4431950,7036386,5386230,6045214,5944168,5571052,4961286,7166949,82359933
SWE,EUR,33978290,24146058,25649557,25919098,23949803,21012467,29126439,32234534,22851926,24456924,24864942,23335078,21267670,37317253,370110043
SWZ,AFR,8485372,4135478,2740743,1720317,1062701,634371,439232,8480611,4382950,3014872,1870891,1233897,816808,658015,39676236
SXM,AMR,45325,42992,10514,30963,49375,30878,12540,33252,40011,8408,27218,51389,32240,15445,430560
SYC,AFR,488038,316216,295594,241683,173349,111076,89234,471062,294353,261614,212949,161273,113111,137565,3367130
SYR,EMR,138366959,68257508,47174773,33038471,21950326,13890523,10753101,132073796,65755556,46658672,33396535,22339637,14086398,12160551,659902774
TCA,AMR,105383,64134,81814,81710,57479,31982,25818,106685,66188,75946,71086,51295,31421,30310,881238
TCD,AFR,90569062,35603480,23744900,15729433,9914561,5936170,4292191,88568299,35210826,24078564,16195453,10527957,6673362,5370806,372415100
TGO,AFR,46324273,21157714,15279308,10596757,6943211,4253034,2817280,45736407,20933584,15202800,10633833,7150854,4606189,3343705,214978904
THA,SEA,313060573,217599181,201409470,182255855,148392012,99953749,80125469,296683311,212104326,205964542,189974068,157674381,109638234,101982446,2516817648
TJK,EUR,54215774,26903086,19940809,13044150,9076860,5573376,4080592,52946141,27183715,20440929,13574543,9448559,6001235,4998369,267428151
TKL,WPR,12281,5772,3894,3169,2790,2169,2144,11352,5150,3716,3484,3337,2689,3117,65067
TKM,EUR,32989902,18500089,14736322,10461901,7423390,4451371,2923877,31979401,18302890,14971482,10898129,8043948,5333173,4663724,185679619
